PROD_SKU	BRAND_NAME	VEND_STREET	PROD_DESCRIPT	PROD_TYPE	VEND_NAME	PROD_CATEGORY	VEND_STATE	BRAND_TYPE	VEND_CITY	PROD_PRICE	BRAND_ID	VEND_ID	PROD_QOH	VEND_ZIP	PROD_MIN	PROD_BASE			
4976-PZN	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Primer, Latex, for Interior Wood"	Interior	Rivera Decor Partners	Primer	MI	PREMIUM	Orchard Lake	13.69	33	22	33	48324	20	Water			
4987-BFL	HOME COMFORT	1492 AUSTIN AVENUE	"Latex, Interior, Institutional Low Odor/VOC, Semi-Gloss (MPI Gloss Level 5)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	29.99	27	21	63	22625	30	Water			
5046-TTC	LE MODE	1951 WEST 28TH COURT	"Aluminum Paint, Heat Resistant (Up to 427°C - 800°F)"	Exterior	Super Solubles of Pennsylvania	Top Coat	PA	PREMIUM	Laporte	18.99	35	11	129	18626	30	Solvent			
5060-EDB	FORESTERS BEST	1105 OLSON CIRCLE	"Latex, Interior, Institutional Low Odor/VOC, ('eggshell-like' - MPI Gloss Level 3) "	Interior	Leal Decor Workshop	Top Coat	PA	VALUE	Lake Lynn	29.99	23	3	121	15439	40	Water			
5140-RTG	LE MODE	377 LONGHORN STREET	"Fire Resistant Sealer, for Exterior Wood (ULC Approved)"	Exterior	Warren Paints Consolidated	Sealer	VT	PREMIUM	Beebe Plain	19.99	35	2	107	5823	40	Solvent			
5155-YQL	STUTTENFURST	1353 STEPHEN CIRCLE	"Latex, Recycled (Remanufactured), Interior (MPI Gloss Level 2)"	Interior	Linden Consolidated	Top Coat	MI	CONTRACTOR	Linden	38.99	25	17	105	48451	25	Water			
5161-GIZ	VALU-MATTE	1105 OLSON CIRCLE	"Lacquer, Sanding Sealer, Clear"	Exterior	Leal Decor Workshop	Sealer	PA	VALUE	Lake Lynn	13.99	31	3	17	15439	30	Solvent			
5213-YTB	VALU-MATTE	377 LONGHORN STREET	"Latex, Interior, High Performance Architectural, ('velvet-like' - MPI Gloss Level 2)"	Interior	Warren Paints Consolidated	Top Coat	VT	VALUE	Beebe Plain	34.49	31	2	15	5823	35	Water			
5220-JDO	BUSTERS	1839 DEMEURE PLACE	"Acrylic Coating, High Build, for Pavement Marking"	Exterior	Lambert Decor of New Hampshire	Top Coat	NH	VALUE	Brookfield	36.99	29	10	109	3872	10	Solvent			
5250-JDL	HOME COMFORT	1492 AUSTIN AVENUE	"Primer, Zinc Rich, Moisture Cured"	Exterior	Internation Solvents of Virginia	Primer	VA	CONTRACTOR	Cross Jct	13.99	27	21	96	22625	40	Solvent			
5290-HTG	HOME COMFORT	1492 AUSTIN AVENUE	"Epoxy-Modified Latex, Interior, Gloss (MPI Gloss Level 6)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	21.59	27	21	119	22625	25	Water			
5379-BLX?	OLDE TYME QUALITY	1286 RICHARD EVELYN BYRD STREET	"Dry Fall, Water Based, for Galvanized Steel, MPI Gloss Level 3"	Interior	Kenny Paints Workshop	Top Coat	MI	CONTRACTOR	Grand Ledge	21.59	28	7	119	48837	35	Water			
5413-TTF	HOME COMFORT	1492 AUSTIN AVENUE	"Latex, Interior, Institutional Low Odor/VOC, Flat (MPI Gloss Level 1)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	29.99	27	21	71	22625	5	Water			
5437-WBO	LE MODE	1185 BIGLERVILLE CIRCLE	"Fire Retardant Sealer, Alkyd, Interior (ULC Approved)"	Interior	National Wholesale Consolidated	Top Coat	VT	PREMIUM	Sweek Hollow	28.99	35	5	26	5483	30	Solvent			
5445-XOY	VALU-MATTE		"Primer, Alkyd, Anti-Corrosive for Metal"	Exterior		Primer	OH	VALUE	Rowsburg	10.99	31	15	66	44866	25	Solvent			
5465-YYG	BUSTERS	1353 STEPHEN CIRCLE	"Latex, Interior, Flat (MPI Gloss Level 1)"	Interior	Linden Consolidated	Top Coat	MI	VALUE	Linden	8.99	29	17	115	48451	30	Water			
5496-MRA	BUSTERS	1286 RICHARD EVELYN BYRD STREET	Bituminous Coating	Exterior	Kenny Paints Workshop	Top Coat	MI	VALUE	Grand Ledge	28.49	29	7	79	48837	10	Solvent			
5508-OUB	BUSTERS	1777 EASTWIND COURT	"Fire Retardant Coating, Alkyd, Interior, Flat (ULC Approved)"	Interior	Pine Hill Chemical Warehouse	Top Coat	PA	VALUE	Pine Hill	35.99	29	6	56	17901	35	Solvent			
5516-FYH	HOME COMFORT	1492 AUSTIN AVENUE	"Floor Paint, Latex, Gloss "	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	21.99	27	21	82	22625	15	Water			
5529-SBL	LONG HAUL	454 WINDJAMMER CIRCLE	"Water Repellent, Clear (Paintable)"	Exterior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	15.59	30	15	32	44866	25	Solvent			
5541-HST	LE MODE	1618 CARIN PLACE	"Fire Retardant Coating, Interior, Clear (ULC Approved)"	Interior	National Solubles Partners	Top Coat	NC	PREMIUM	Newport	32.99	35	16	31	28570	15	Water			
5587-MNY	VALU-MATTE	222 SEWARD 34TH RAMP	"Latex, Interior, ('velvet-like' - MPI Gloss Level 2)"	Interior	Baltimore Paints Consolidated	Top Coat	MD	VALUE	Baltimore	14.69	31	8	14	21222	20	Water			
5587-PIP	STUTTENFURST	382 FLORENCE CIRCLE	"Primer Sealer, Latex, Interior"	Interior	Donahue Solubles of West Virginia	Primer	WV	CONTRACTOR	Huntington	10.99	25	9	38	25700	5	Water			
5595-NYE	LONG HAUL	454 WINDJAMMER CIRCLE	"Dry Fall, Water Based, for Galvanized Steel, Flat (MPI Gloss Level 1)"	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	23.99	30	15	24	44866	25	Water			
5602-QBF	LONG HAUL	454 WINDJAMMER CIRCLE	"Polyurethane, Two-Component, Pigmented, Gloss (MPI Gloss Level 6)"	Exterior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	4.29	30	15	13	44866	40	Solvent			
5625-FVF	LONG HAUL	454 WINDJAMMER CIRCLE	"Alkyd, Interior, Flat (MPI Gloss Level 1) "	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	12.99	30	15	125	44866	15	Solvent			
5642-IDA	LE MODE	1105 OLSON CIRCLE	"Latex, Interior, Institutional Low Odor/VOC, Gloss (MPI Gloss Level 6)"	Interior	Leal Decor Workshop	Top Coat	PA	PREMIUM	Lake Lynn	29.99	35	3	39	15439	10	Water			
5653-RTU	FORESTERS BEST	1404 SEWARD NB ON TUDOR RAMP	Aluminum Paint	Interior	Rivera Decor Partners	Top Coat	MI	VALUE	Orchard Lake	12.99	23	22	87	48324	15	Solvent			
5659-BFS	LE MODE	632 GLENN NB ON MULDOON RAMP	"Elastomeric Coating, Exterior, Water Based, Non-Flat"	Exterior	Watkins Wholesale Warehouse	Top Coat	MA	PREMIUM	Westfield	17.29	35	14	100	1086	35	Water			
5728-ZPO	HOME COMFORT	1492 AUSTIN AVENUE	"Shop Coat, Quick Dry, for Interior Steel"	Interior	Internation Solvents of Virginia	Sealer	VA	CONTRACTOR	Cross Jct	15.59	27	21	19	22625	20	Solvent			
5734-BGX	LONG HAUL	454 WINDJAMMER CIRCLE	"Polyurethane, Moisture Cured, Pigmented, Gloss (MPI Gloss Level 6)"	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	16.99	30	15	?54	44866	35	Solvent			
5781-TKY	BUSTERS	1174 SPRUCEWOOD STREET	"Epoxy, High Build, Low Gloss"	Exterior	Ledbetter Chemical of Vermont	Top Coat	VT	VALUE	Brimstone Corners	13.59	29	18	81	5761	35	Solvent			
5794-JGQ	OLDE TYME QUALITY	1353 STEPHEN CIRCLE	"Varnish, with UV Inhibitor, Exterior, Gloss (MPI Gloss Level 6)"	Exterior	Linden Consolidated	Top Coat	MI	CONTRACTOR	Linden	15.89	28	17	15	48451	25	Solvent			
5980-BME	STUTTENFURST	1777 EASTWIND COURT	"Primer, Alkali Resistant, Solvent Based"	Exterior	Pine Hill Chemical Warehouse	Primer	PA	CONTRACTOR	Pine Hill	31.99	25	6	23	17901	30	Solvent			
6033-YFY	OLDE TYME QUALITY	1618 CARIN PLACE	"Primer, Stain Blocking, Water Based"	Exterior	National Solubles Partners	Primer	NC	CONTRACTOR	Newport	29.99	28	16	140	28570	20	Water			
6041-PBS	STUTTENFURST	1278 STORMY PLACE	"Primer, Metal, Surface Tolerant"	Interior	Ripley Warehouse	Primer	TN	CONTRACTOR	Ripley	7.49	25	4	53	38063	30	Solvent			
6109-ZZO	FORESTERS BEST	527 ELDERBERRY STREET	"Deck Coating, Latex, Exterior"	Exterior	Irvington Wholesale Workshop	Top Coat	KY	VALUE	Irvington	32.89	23	20	63	40146	40	Water			
6116-NQU	HOME COMFORT	1492 AUSTIN AVENUE	"Dry Fall, Alkyd, Semi-Gloss (MPI Gloss Level 5)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	21.99	27	21	15	22625	35	Solvent			
6176-XTX	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Varnish, Interior, Gloss"	Interior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	15.59	33	22	117	48324	30	Solvent			
6249-LYB	HOME COMFORT	1492 AUSTIN AVENUE	"Textured Coating, Latex, Flat"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	11.99	27	21	132	22625	15	Water			
6249-NDN	LONG HAUL	454 WINDJAMMER CIRCLE	Epoxy Deck Coating (Slip-Resistant)	Exterior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	22.59	30	15	131	44866	30	Solvent			
6257-AGA	HOME COMFORT	1492 AUSTIN AVENUE	"Fire Retardant Top-Coat, Latex, Interior (ULC Approved)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	29.99	27	21	127	22625	30	Water			
6350-UPP	STUTTENFURST	1874 LAWLOR CIRCLE	"Block Filler, Latex, Interior/Exterior"	Exterior	S Plymouth Solubles Workshop	Filler	NY	CONTRACTOR	S Plymouth	12.49	25	19	119	13844	5	Water			
6358-UST?	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Traffic Marking Paint, Latex"	Interior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	18.59	33	22	102	48324	40	Water			
6367-AKJ	FORESTERS BEST	377 LONGHORN STREET	"Latex, Recycled (Consolidated), Exterior Flat (G1)"	Exterior	Warren Paints Consolidated	Top Coat	VT	VALUE	Beebe Plain	41.99	23	2	103	5823	20	Water			
6451-KGJ	LE MODE	1777 EASTWIND COURT	"Primer, Latex for Exterior Wood"	Exterior	Pine Hill Chemical Warehouse	Primer	PA	PREMIUM	Pine Hill	6.99	35	6	117	17901	30	Water			
6488-MIG	LONG HAUL	1492 AUSTIN AVENUE	"Latex, Recycled (Consolidated), Interior (MPI Gloss Level 2)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	43.99	30	21	34	22625	15	Water			
6491-XKF	BUSTERS	200 AERO AVENUE	"Fire Retardant Coating, Interior, Clear (ULC Approved)"	Interior	Boykin Chemical Workshop	Top Coat	VA	VALUE	Arlington	32.99	29	13	27	22218	25	Solvent			
6596-HOO	LE MODE	454 WINDJAMMER CIRCLE	"Primer, Alkali Resistant, Water Based"	Exterior	Unlimited Wholesale of Ohio	Primer	OH	PREMIUM	Rowsburg	9.99	35	15	93	44866	5	Water			
6626-ROK	BUSTERS	632 GLENN NB ON MULDOON RAMP	"Epoxy, High Build, Gloss"	Exterior	Watkins Wholesale Warehouse	Top Coat	MA	VALUE	Westfield	13.59	29	14	10	1086	10	Solvent			
6651-ICK	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Stain, Exterior, Solvent Based, Semi-Transparent"	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	11.99	33	22	141	48324	30	Solvent			
6858-EJW	LONG HAUL	454 WINDJAMMER CIRCLE	"Alkyd, Exterior Gloss (MPI Gloss Level 6)"	Exterior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	10.99	30	15	144	44866	40	Solvent			
6865-HAO	BUSTERS	355 WILDWOOD DRIVE	"Primer, Epoxy, Water Based, Anti-Corrosive, for Metal"	Interior	International Decor Partners	Primer	FL	VALUE	South Miami	38.99	29	12	127	33143	25	Water			
6894-JQV	HOME COMFORT	1492 AUSTIN AVENUE	"Latex, Recycled (Consolidated), Interior (MPI Gloss Level 1)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	48.59	27	21	35	22625	5	Water			
6925-KDN	LONG HAUL	454 WINDJAMMER CIRCLE	"Floor Enamel, Alkyd, Gloss (MPI Gloss Level 6)"	Exterior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	11.59	30	15	69	44866	10	Solvent			
6933-YOI	BUSTERS	1185 BIGLERVILLE CIRCLE	"Block Filler, Latex, Interior/Exterior"	Interior	National Wholesale Consolidated	Filler	VT	VALUE	Sweek Hollow	8.99	29	5	34	5483	15	Water			
7006-IXN	BUSTERS	1874 LAWLOR CIRCLE	"Polyurethane, Moisture Cured, Pigmented, Intermediate Coat"	Exterior	S Plymouth Solubles Workshop	Top Coat	NY	VALUE	S Plymouth	14.99	29	19	53	13844	35	Solvent			
7158-LJP	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Textured Coating, Latex, Flat"	Interior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	11.99	33	22	39	48324	5	Water			
7179-YXG	VALU-MATTE	454 WINDJAMMER CIRCLE	"Stain, Exterior, Water Based, Semi-Transparent"	Exterior	Unlimited Wholesale of Ohio	Primer	OH	VALUE	Rowsburg	12.99	31	15	131	44866	10	Water			
7224-FEU	HOME COMFORT	1492 AUSTIN AVENUE	"Latex, Recycled (Consolidated), Exterior, Low Sheen (G 3-4)"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	43.99	27	21	94	22625	35	Water			
7231-UES	LONG HAUL	454 WINDJAMMER CIRCLE	"Stain, Interior, for Concrete Floors"	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	23.99	30	15	50	44866	10	Solvent			
7258-HCV	LE MODE	222 SEWARD 34TH RAMP	"Primer, Alkyd, Anti-Corrosive for Metal"	Interior	Baltimore Paints Consolidated	Primer	MD	PREMIUM	Baltimore	10.99	35	8	30	21222	35	Solvent			
7260-YDI	LE MODE	527 ELDERBERRY STREET	"Light Industrial Coating, Interior, Water Based, Semi-Gloss (MPI Gloss Level 5)"	Interior	Irvington Wholesale Workshop	Top Coat	KY	PREMIUM	Irvington	15.59	35	20	25	40146	20	Water			
7316-MQD	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	Aluminum Paint	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	12.99	33	22	36	48324	30	Solvent			
7355-WBT	VALU-MATTE	1777 EASTWIND COURT	"Primer, Galvanized, Water Based"	Interior	Pine Hill Chemical Warehouse	Primer	PA	VALUE	Pine Hill	13.59	31	6	62	17901	30	Water			
7500-ROG	LONG HAUL	1404 SEWARD NB ON TUDOR RAMP	"Heat Resistant Coating, (Up to 205°C/402°F), MPI Gloss Level 5-6 "	Interior	Rivera Decor Partners	Top Coat	MI	CONTRACTOR	Orchard Lake	23.99	30	22	53	48324	5	Solvent			
7532-PYJ	STUTTENFURST	454 WINDJAMMER CIRCLE	"Floor Paint, Latex, Gloss "	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	21.99	25	15	76	44866	40	Water			
7538-ITC	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Primer, Zinc Rich, Inorganic"	Interior	Rivera Decor Partners	Primer	MI	PREMIUM	Orchard Lake	8.99	33	22	95	48324	25	Solvent			
7551-ZVS	VALU-MATTE	1777 EASTWIND COURT	"Primer, Epoxy, Anti-Corrosive, for Metal"	Exterior	Pine Hill Chemical Warehouse	Primer	PA	VALUE	Pine Hill	14.99	31	6	15	17901	10	Solvent			
7627-HHI	OLDE TYME QUALITY	1951 WEST 28TH COURT	"Floor Enamel, Alkyd, Gloss (MPI Gloss Level 6)"	Interior	Super Solubles of Pennsylvania	Top Coat	PA	CONTRACTOR	Laporte	11.59	28	11	128	18626	40	Solvent			
7658-HCW	HOME COMFORT	1492 AUSTIN AVENUE	"Latex, Interior, Gloss (MPI GLoss Level 6)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	19.99	27	21	15	22625	25	Water			
7673-ECV	STUTTENFURST	200 AERO AVENUE	"Stain, Exterior, Solvent Based, Solid Hide"	Exterior	Boykin Chemical Workshop	Top Coat	VA	CONTRACTOR	Arlington	11.99	25	13	122	22218	15	Solvent			
7731-GBG	LE MODE	1286 RICHARD EVELYN BYRD STREET	"Varnish, Exterior, Water Based, (Semi-Gloss) MPI Gloss Level 5"	Exterior	Kenny Paints Workshop	Top Coat	MI	PREMIUM	Grand Ledge	13.39	35	7	109	48837	35	Water			
7762-STV	BUSTERS	1353 STEPHEN CIRCLE	"Lacquer, Clear, Satin"	Interior	Linden Consolidated	Top Coat	MI	VALUE	Linden	14.99	29	17	56	48451	35	Solvent			
7804-ZVW	LE MODE	1286 RICHARD EVELYN BYRD STREET	"Water Repellent, Clear (Paintable)"	Interior	Kenny Paints Workshop	Top Coat	MI	PREMIUM	Grand Ledge	15.59	35	7	57	48837	15	Solvent			
7883-NLQ	FORESTERS BEST	1105 OLSON CIRCLE	"Primer, Rust-Inhibitive, Water Based"	Interior	Leal Decor Workshop	Primer	PA	VALUE	Lake Lynn	12.59	23	3	29	15439	25	Water			
8053-PME	STUTTENFURST	1353 STEPHEN CIRCLE	Polyurethane Deck Coating (Slip-Resistant)	Interior	Linden Consolidated	Top Coat	MI	CONTRACTOR	Linden	25.99	25	17	28	48451	25	Solvent			
8094-EYX	HOME COMFORT	1492 AUSTIN AVENUE	"Lacquer, Pigmented, Satin"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	14.59	27	21	50	22625	40	Solvent			
8162-KJI	VALU-MATTE	1278 STORMY PLACE	"Primer, Zinc Rich, Epoxy"	Exterior	Ripley Warehouse	Primer	TN	VALUE	Ripley	9.49	31	4	73	38063	10	Solvent			
8170-EKF	LE MODE	1105 OLSON CIRCLE	"Polyurethane, Moisture Cured, Pigmented, Gloss (MPI Gloss Level 6)"	Exterior	Leal Decor Workshop	Top Coat	PA	PREMIUM	Lake Lynn	16.99	35	3	73	15439	5	Solvent			
8199-YRF	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Varnish, Exterior, Water Based, (Satin-Like) MPI Gloss Level 4"	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	12.99	33	22	105	48324	10	Water			
8207-YYG	LE MODE	1618 CARIN PLACE	"Latex, Interior, High Performance Architectural, ('satin-like' - MPI Gloss Level 4)"	Interior	National Solubles Partners	Top Coat	NC	PREMIUM	Newport	34.49	35	16	14	28570	15	Water			
8310-LAC	VALU-MATTE	632 GLENN NB ON MULDOON RAMP	"Textured Coating, Latex, Non-Flat"	Exterior	Watkins Wholesale Warehouse	Top Coat	MA	VALUE	Westfield	11.99	31	14	ñ51	1086	15	Water			
8322-JEX	STUTTENFURST	1353 STEPHEN CIRCLE	"Preservative Oil, Gloss"	Interior	Linden Consolidated	Cleaner	MI	CONTRACTOR	Linden	12.99	25	17	50	48451	25	Solvent			
8338-JZUû	OLDE TYME QUALITY	1492 AUSTIN AVENUE	"Alkyd, Quick Dry, Gloss"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	17.99	28	21	118	22625	40	Solvent			
8382-HKN	LONG HAUL	454 WINDJAMMER CIRCLE	"Textured Coating, Latex, Non-Flat"	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	11.99	30	15	20	44866	5	Water			
8400-JDC	VALU-MATTE	377 LONGHORN STREET	"Lacquer, Clear, Gloss"	Interior	Warren Paints Consolidated	Top Coat	VT	VALUE	Beebe Plain	14.99	31	2	49	5823	25	Solvent			
8406-TQG	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Primer, Bonding, Water Based"	Interior	Rivera Decor Partners	Primer	MI	PREMIUM	Orchard Lake	7.99	33	22	119	48324	15	Water			
8436-MGP	OLDE TYME QUALITY	1625 BAY VIEW DRIVE	"Block Filler, Epoxy"	Exterior	Mt Blanchard Solvents Supplies	Filler	OH	CONTRACTOR	Mt Blanchard	7.79	28	1	84	45867	10	Solvent			
8439-KUP	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Vinyl, High Build"	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	17.99	33	22	76	48324	5	Solvent			
8495-ZQR	FORESTERS BEST	377 LONGHORN STREET	"Varnish, Aliphatic Polyurethane, Two-Component"	Exterior	Warren Paints Consolidated	Top Coat	VT	VALUE	Beebe Plain	12.29	23	2	111	5823	40	Solvent			
8523-UCB	LONG HAUL	454 WINDJAMMER CIRCLE	"Alkyd, Quick Dry, Semi-Gloss"	Exterior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	21.59	30	15	139	44866	10	Solvent			
8543-RJN	VALU-MATTE	1618 CARIN PLACE	"Floor Paint, Alkyd, Low Gloss "	Interior	National Solubles Partners	Top Coat	NC	VALUE	Newport	21.99	31	16	10	28570	5	Solvent			
8544-CIQ	LE MODE	355 WILDWOOD DRIVE	"Traffic Marking Paint, Alkyd"	Interior	International Decor Partners	Top Coat	FL	PREMIUM	South Miami	6.59	35	12	16	33143	25	Solvent			
8571-CKP	OLDE TYME QUALITY	1185 BIGLERVILLE CIRCLE	"Varnish, Polyurethane, Moisture Cured, Gloss (MPI Gloss Level 6)"	Exterior	National Wholesale Consolidated	Top Coat	VT	CONTRACTOR	Sweek Hollow	17.79	28	5	46	5483	5	Solvent			
8685-REM	LONG HAUL	1353 STEPHEN CIRCLE	"Primer, Quick Dry, for Aluminum"	Exterior	Linden Consolidated	Primer	MI	CONTRACTOR	Linden	19.99	30	17	66	48451	25	Solvent			
8726-ZNM	BUSTERS	1839 DEMEURE PLACE	"Floor Paint, Alkyd, Low Gloss "	Exterior	Lambert Decor of New Hampshire	Top Coat	NH	VALUE	Brookfield	21.99	29	10	107	3872	15	Solvent			
8751-IOK	STUTTENFURST	1174 SPRUCEWOOD STREET	"Epoxy, Gloss"	Interior	Ledbetter Chemical of Vermont	Top Coat	VT	CONTRACTOR	Brimstone Corners	7.79	25	18	19	5761	10	Solvent			
8821-DDM	LE MODE	382 FLORENCE CIRCLE	"Barrier Coating, Two Coat, Low VOC for Industrial Maintenance"	Exterior	Donahue Solubles of West Virginia	Top Coat	WV	PREMIUM	Huntington	34.99	35	9	103	25700	40	Water			
8841-JFP	STUTTENFURST	1185 BIGLERVILLE CIRCLE	"Varnish, Interior, Polyurethane, Oil Modified, Satin"	Interior	National Wholesale Consolidated	Top Coat	VT	CONTRACTOR	Sweek Hollow	6.59	25	5	30	5483	35	Solvent			
8894-LUR	HOME COMFORT	1492 AUSTIN AVENUE	"Lacquer, Sanding Sealer, Clear"	Interior	Internation Solvents of Virginia	Sealer	VA	CONTRACTOR	Cross Jct	13.99	27	21	79	22625	40	Solvent			
8909-SPD	OLDE TYME QUALITY	1777 EASTWIND COURT	"Varnish, Water Based, Clear, Gloss"	Interior	Pine Hill Chemical Warehouse	Top Coat	PA	CONTRACTOR	Pine Hill	15.79	28	6	36	17901	30	Water			
8937-WVA	OLDE TYME QUALITY	377 LONGHORN STREET	"Lacquer, Sanding Sealer, White"	Interior	Warren Paints Consolidated	Sealer	VT	CONTRACTOR	Beebe Plain	3.29	28	2	12	5823	30	Solvent			
8988-FDW	OLDE TYME QUALITY	1286 RICHARD EVELYN BYRD STREET	"Primer, Alkyd, Quick Dry, for Metal"	Exterior	Kenny Paints Workshop	Primer	MI	CONTRACTOR	Grand Ledge	11.99	28	7	110	48837	30	Solvent			
9064-IWN	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Primer, Vinyl Wash"	Exterior	Rivera Decor Partners	Primer	MI	PREMIUM	Orchard Lake	7.59	33	22	15	48324	5	Solvent			
9126-PWF	HOME COMFORT	1492 AUSTIN AVENUE	"Latex, Recycled (Consolidated), Interior (MPI Gloss Level 3)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	48.59	27	21	12	22625	30	Water			
9133-OXA	LONG HAUL	1618 CARIN PLACE	"Primer, Quick Dry, for Aluminum"	Interior	National Solubles Partners	Primer	NC	CONTRACTOR	Newport	19.99	30	16	89	28570	20	Solvent			
9138-QCV	OLDE TYME QUALITY	1404 SEWARD NB ON TUDOR RAMP	"Alkyd, Quick Dry, Semi-Gloss"	Interior	Rivera Decor Partners	Top Coat	MI	CONTRACTOR	Orchard Lake	21.59	28	22	107	48324	15	Solvent			
9175-TAZ	HOME COMFORT	1492 AUSTIN AVENUE	"Epoxy, High Build, Gloss"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	13.59	27	21	15	22625	40	Solvent			
9191-NGA	BUSTERS	1278 STORMY PLACE	"Alkyd, Interior, Gloss (MPI Gloss Level 6) "	Interior	Ripley Warehouse	Top Coat	TN	VALUE	Ripley	14.99	29	4	88	38063	35	Solvent			
9234-WCQ	LE MODE	1951 WEST 28TH COURT	"Stain, Exterior, Water Based, Solid Hide"	Exterior	Super Solubles of Pennsylvania	Top Coat	PA	PREMIUM	Laporte	13.99	35	11	135	18626	35	Water			
9268-RCB	STUTTENFURST	632 GLENN NB ON MULDOON RAMP	"Alkyd, Interior, Semi-Gloss (MPI Gloss Level 5) "	Interior	Watkins Wholesale Warehouse	Top Coat	MA	CONTRACTOR	Westfield	13.99	25	14	64	1086	25	Solvent			
9272-LTP	HOME COMFORT	1492 AUSTIN AVENUE	"Varnish, Marine Spar, Exterior, Gloss (MPI Gloss Level 6)"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	13.29	27	21	87	22625	35	Solvent			
9276-MVX	OLDE TYME QUALITY	1625 BAY VIEW DRIVE	"Varnish, Exterior, Water Based, (High Gloss) MPI Gloss Level 7"	Exterior	Mt Blanchard Solvents Supplies	Top Coat	OH	CONTRACTOR	Mt Blanchard	13.39	28	1	83	45867	30	Water			
9288-IRF	STUTTENFURST	1286 RICHARD EVELYN BYRD STREET	"Varnish, Water Based, Clear (eggshell-like) MPI Gloss Level 3"	Interior	Kenny Paints Workshop	Top Coat	MI	CONTRACTOR	Grand Ledge	14.59	25	7	118	48837	15	Water			
9292-RQZ	OLDE TYME QUALITY	1618 CARIN PLACE	"Aluminum Paint, High Heat (up to 590° C/1100° F)"	Interior	National Solubles Partners	Top Coat	NC	CONTRACTOR	Newport	32.99	28	16	24	28570	10	Solvent			
9324-PPG	HOME COMFORT	1492 AUSTIN AVENUE	"Primer, Zinc Rich, Organic"	Interior	Internation Solvents of Virginia	Primer	VA	CONTRACTOR	Cross Jct	11.99	27	21	5	22625	30	Solvent			
